,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType,category
45,0,50.0,2,0.076923076923077,1,0.038461538461538,1,0.038461538461538,0.0,26,F,0.076923076923077,0.66666698455811,Doug,203926,McDermott,20,0.0,2,3,0.11538461538462,0.0,33.333333333333,33.333333333333,1610612742,Dallas Mavericks,DAL,Dallas,1.4150899648666,0,50.0,Offensive,2017,Reg,Isolation
46,0,28.571428571429,7,0.21212121212121,2,0.060606060606061,5,0.15151515151515,22.222222222222,33,G,0.21212121212121,0.77777802944183,Kyle,1627858,Collinsworth,8,0.0,7,9,0.27272727272727,22.222222222222,44.444444444444,0.0,1610612742,Dallas Mavericks,DAL,Dallas,6.4285697937012,0,28.571428571429,Offensive,2017,Reg,Isolation
47,0,20.0,5,1.0,1,0.2,4,0.8,0.0,5,,0.4,0.33333298563957,Josh,1627982,Gray,14,0.0,2,6,1.2,0.0,16.666666666667,16.666666666667,1610612756,Phoenix Suns,PHX,Phoenix,11.320799827576,0,20.0,Offensive,2017,Reg,Isolation
48,217,36.111111111111,36,1.1612903225806,13,0.41935483870968,23,0.74193548387097,2.6315789473684,31,F,0.87096774193548,0.71052598953247,Jabari,203953,Parker,12,2.6315789473684,27,38,1.2258064516129,2.6315789473684,34.210526315789,5.2631578947368,1610612749,Milwaukee Bucks,MIL,Milwaukee,9.4292802810669,65,36.111111111111,Offensive,2017,Reg,Isolation
49,78,37.5,32,0.57142857142857,12,0.21428571428571,20,0.35714285714286,3.030303030303,56,G,0.57142857142857,0.96969699859619,Tyler,1628416,Dorsey,2,0.0,32,33,0.58928571428571,3.030303030303,39.393939393939,0.0,1610612737,Atlanta Hawks,ATL,Atlanta,7.3825497627258,204,46.875,Offensive,2017,Reg,Isolation
50,0,75.0,4,0.072727272727273,3,0.054545454545455,1,0.018181818181818,16.666666666667,55,C,0.12727272727273,1.1666699647903,Miles,203101,Plumlee,18,0.0,7,6,0.10909090909091,16.666666666667,66.666666666667,16.666666666667,1610612737,Atlanta Hawks,ATL,Atlanta,2.2058799266815,0,75.0,Offensive,2017,Reg,Isolation
51,182,36.0,50,1.3888888888889,18,0.5,32,0.88888888888889,7.1428571428571,36,G,1.2222222222222,0.78571397066116,Trey,203504,Burke,23,0.0,44,56,1.5555555555556,7.1428571428571,39.285714285714,3.5714285714286,1610612752,New York Knicks,NYK,NewYork,12.444399833679,100,37.0,Offensive,2017,Reg,Isolation
52,0,0.0,1,0.023809523809524,0,0.0,1,0.023809523809524,0.0,42,C-F,0.0,0.0,Tyler,203092,Zeller,44,0.0,0,1,0.023809523809524,0.0,0.0,0.0,1610612751,Brooklyn Nets,BKN,Brooklyn,0.34722200036049,0,0.0,Offensive,2017,Reg,Isolation
53,0,33.333333333333,3,0.056603773584906,1,0.018867924528302,2,0.037735849056604,0.0,53,F,0.037735849056604,0.66666698455811,Tristan,202684,Thompson,13,0.0,2,3,0.056603773584906,0.0,33.333333333333,0.0,1610612739,Cleveland Cavaliers,CLE,Cleveland,0.97402602434158,0,33.333333333333,Offensive,2017,Reg,Isolation
54,0,0.0,2,0.1,0,0.0,2,0.1,0.0,20,,0.0,0.0,Myke,1627988,Henry,4,0.0,0,2,0.1,0.0,0.0,0.0,1610612763,Memphis Grizzlies,MEM,Memphis,1.5151499509811,0,0.0,Offensive,2017,Reg,Isolation
